Project Section,Labor / Materials,item,Status,Budget Number,Cost to Date,Progress,Start,End
Feed Hopper,Total,,,"4,455.00","2,005.75",73.00%,,
Feed Hopper,Labor,Disassembly,,130.00,130.00,100.00%,,
Feed Hopper,Labor,Cleaning,,325.00,325.00,100.00%,,
Feed Hopper,Labor,Sandlbasting ,,750.00,750.00,90.00%,,
Feed Hopper,Labor,Painting,,"1,500.00",800.75,75.00%,4/24/2023,4/28/2023
Feed Hopper,Labor,Reassembly,,"1,250.00",0,0.00%,5/1/2023,5/5/2023
Feed Hopper,Materials,Top Cover,repair or replace,500.00,0.00,,,
Feed Hopper,Materials,Electro-pneumatic discharge gate,good shape,,0.00,0.00%,,
Feed Hopper,Materials,O/C position switchs(open only),replace,,0.00,0.00%,,
Feed Hopper,Materials,High / Low Level proximity switches,replace,,0.00,0.00%,,
Feed Hopper,Materials,Hardware,,,0.00,,,
Feed Hopper,Materials,Gasketing,,,0.00,,,
Roaster Body,Total,,,"53,595.58","25,299.58",60.83%,,
Roaster Body,Labor,Engineering,,302,302,0.00%,,
Roaster Body,Labor,Disassembly,,"2,600.00","2,600.00",100.00%,,
Roaster Body,Labor,Cleaning,,"2,275.00","2,275.00",100.00%,,
Roaster Body,Labor,Sandlbasting ,,"5,250.00","2,275.00",90.00%,,
Roaster Body,Labor,Painting,,"3,750.00","2,529.00",75.00%,4/24/2023,4/28/2023
Roaster Body,Labor,Reassembly,,"13,600.00",,0.00%,5/1/2023,5/5/2023
Roaster Body,Materials,Cylinder  machining,Rebuilt at machine shop,"3,800.00","3,800.00",100.00%,,
Roaster Body,Materials,Front and back disc machining,Rebuilt at machine shop,"3,000.00","3,000.00",100.00%,,
Roaster Body,Materials,Journal Rings,delivered - need to install,"4,150.24","4,150.24",75.00%,,
Roaster Body,Materials,pinion and bearings,"replace bearing with pillow block Bearings Cylinder gear, countershaft","4,368.34","4,368.34",50.00%,,
Roaster Body,Materials,skirts,"good shape - clean and paint inside, polish outside, regasket and install",,0.00,50.00%,,
Roaster Body,Materials,skirt hold down brackets,clean and paint ,,0.00,50%,,
Roaster Body,Materials,suction box,repair,"5,000.00",0.00,90.00%,,
Roaster Body,Materials,roaster top with explosion hatch,repair - refurb and regasket,"2,000.00",0.00,0.00%,,
Roaster Body,Materials,roaster stand,discuss upgrading to modular,"2,000.00",0.00,0.00%,,
Roaster Body,Materials,"Cylinder drive motor 3 hp TEFC with timing belt drive, and guard",replace motor - price listed is for Baldor (alternate option pricing @  820.00),"1,500.00",0.00,25.00%,,
Roaster Body,Materials,motor timing belt drive,replace,,0.00,0.00%,,
Roaster Body,Materials,Guard,,,0.00,0.00%,,
Roaster Body,Materials,Cylinder rotation switch and mounting hardware for cylinder drive,"replace switch, bad shape, mounted on guard",,0.00,0.00%,,
Roaster Body,Materials,Thermocouple assembly consisting of dual element thermocouple (bean temperature) and thermocouple well,Good condition,,0.00,0.00%,,
Roaster Body,Materials,Swing gate Mechanical,repair - gate rusty needs TLC,,0.00,50.00%,,
Roaster Body,Materials,Swing gate electro-pneumatic operator and O/C position switches,Piston with O/C switches OK,,0.00,50.00%,,
Roaster Body,Materials,Swinging discharge chute,"OK, sanding & Painting",,0.00,50.00%,,
Roaster Body,Materials,Sight feed oilers,2 oilers OK - clean and reinstall. Replace copper tubing,,0.00,0.00%,,
Roaster Body,Materials,Hardware,,,0.00,0.00%,,
Roaster Body,Materials,Gasketing,,,0.00,0.00%,,
Recirculating System,Total,,,"90,580.00","5,929.00",30.00%,,
Recirculating System,Labor,Engineering,,302.00,302.00,0.00%,,
Recirculating System,Labor,Disassembly,,975.00,975.00,100.00%,,
Recirculating System,Labor,Cleaning,,975.00,975.00,100.00%,,
Recirculating System,Labor,Sandlbasting ,,"3,000.00","1,752.00",75.00%,,
Recirculating System,Labor,Painting,,"3,750.00","1,925.00",50.00%,4/24/2023,4/26/2023
Recirculating System,Labor,Insulation,,"8,160.00",,0.00%,4/26/2023,4/28/2023
Recirculating System,Labor,Reassembly,,"13,600.00",,0.00%,5/1/2023,5/5/2023
Recirculating System,Materials,Insulation,,"7,500.00",,0.00%,,
Recirculating System,Materials,Circulating fan housing (insulated),Good,,,100.00%,,
Recirculating System,Materials,circulating fan wheel,Housing OK Fan bent slightly - needs to be balanced,"1,000.00",,0.00%,,
Recirculating System,Materials, 5 hp TEFC direct connected motor on circulating fan,replace motor  - price listed is for Baldor (alternate option pricing @ 630.00),818.00,,0.00%,,
Recirculating System,Materials,Fan suction pipe (insulated) with slip type expansion joint,"replace - Slip expansion needs to be replaced, fan suction pipe needs  to be replaced","2,000.00",,50.00%,,
Recirculating System,Materials, Fan to collector pipe (insulated) with slip type expansion joint (upper),,"6,500.00",,50.00%,,
Recirculating System,Materials, Fan to collector pipe (insulated) with slip type expansion joint (lower),,"6,000.00",,0.00%,,
Recirculating System,Materials,Integral chaff collector & cone (insulated) with can & cover ,"Needs insulating, can is missing, cover is in good shape, regasket cone to bottom","5,000.00",,0.00%,,
Recirculating System,Materials,Collector to muffle inlet elbow (insulated) with slip type expansion joint,replace - Needs insulation work done  and patching - in progress,"3,000.00",,50.00%,,
Recirculating System,Materials,"Muffle inlet (insulated) with circulating damper, electro-pneumatic operator and open/closed position switches",replace - lollipop pipe - needs to be fabricated,"9,000.00",,50.00%,,
Recirculating System,Materials," Muffle cylinder, stainless steel with ceramic fiber insulation and stainless steel liners ",outer shell (good shape) Inner shell insulation,"7,500.00",,0.00%,,
Recirculating System,Materials,pant leg pipe,replace with selkirk replacement,"2,000.00",,0.00%,,
Recirculating System,Materials,pant leg to afterburner pipe,"repair - needs to be fabricated and insulated, rebuild existing manual damper","2,500.00",,0.00%,,
Recirculating System,Materials,Draft damper and expansion joint (insulated) for collector to afterburner pipe,repair - Draft damper in good condition / expansion joint needs to be refurbed,,,0.00%,,
Recirculating System,Materials,Dual element thermocouple for ACO control and high temperature limit,,,,0.00%,,
Recirculating System,Materials,Low recirculating air pressure switch,,,,0.00%,,
